"","goslim_names","n","species"
"1","anatomical structure development",1832,"pisaster"
"2","antioxidant activity",34,"pisaster"
"3","carbohydrate metabolic process",282,"pisaster"
"4","cell differentiation",1103,"pisaster"
"5","circulatory system process",223,"pisaster"
"6","cytokinesis",51,"pisaster"
"7","defense response to other organism",345,"pisaster"
"8","detoxification",35,"pisaster"
"9","digestive system process",29,"pisaster"
"10","endocrine process",10,"pisaster"
"11","extracellular matrix organization",160,"pisaster"
"12","immune system process",738,"pisaster"
"13","inflammatory response",133,"pisaster"
"14","lipid binding",432,"pisaster"
"15","muscle system process",93,"pisaster"
"16","nervous system process",524,"pisaster"
"17","reproductive process",686,"pisaster"
"18","toxin activity",19,"pisaster"
"19","virus receptor activity",16,"pisaster"
"20","wound healing",83,"pisaster"
